 ,web-scraper-start-url,moviename,moviename-href,moviedirector,moviedirector-href,movieduration,movieactor1,movieactor1-href,movieactor2,movieactor2-href,moviereleasedate,moveierating
1542140331-618,https://www.imdb.com/chart/top,My Neighbor Totoro,https://www.imdb.com/title/tt0096283/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ECK38WD3S8MYBPN0NDYY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_133,Hayao Miyazaki,https://www.imdb.com/name/nm0594503/?ref_=tt_ov_dr,1h 26min,Hitoshi Takagi,https://www.imdb.com/name/nm0847054/?ref_=tt_ov_st_sm,Noriko Hidaka,https://www.imdb.com/name/nm0383022/?ref_=tt_ov_st_sm,Family,"8,2"
1542140600-722,https://www.imdb.com/chart/top,Léon: The Professional,https://www.imdb.com/title/tt0110413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ECK38WD3S8MYBPN0NDYY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_29,Luc Besson,https://www.imdb.com/name/nm0000108/?ref_=tt_ov_dr,1h 50min,Jean Reno,https://www.imdb.com/name/nm0000606/?ref_=tt_ov_st_sm,Gary Oldman,https://www.imdb.com/name/nm0000198/?ref_=tt_ov_st_sm,Drama,"8,6"
1542140116-561,https://www.imdb.com/chart/top,Stand by Me,https://www.imdb.com/title/tt0092005/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ECK38WD3S8MYBPN0NDYY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_190,Rob Reiner,https://www.imdb.com/name/nm0001661/?ref_=tt_ov_dr,1h 29min,Wil Wheaton,https://www.imdb.com/name/nm0000696/?ref_=tt_ov_st_sm,River Phoenix,https://www.imdb.com/name/nm0000203/?ref_=tt_ov_st_sm,Drama,"8,1"
1542139952-518,https://www.imdb.com/chart/top,Blade Runner 2049,https://www.imdb.com/title/tt1856101/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ECK38WD3S8MYBPN0NDYY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_233,Denis Villeneuve,https://www.imdb.com/name/nm0898288/?ref_=tt_ov_dr,2h 44min,Harrison Ford,https://www.imdb.com/name/nm0000148/?ref_=tt_ov_st_sm,Ryan Gosling,https://www.imdb.com/name/nm0331516/?ref_=tt_ov_st_sm,Mystery,"8,0"
1542140156-568,https://www.imdb.com/chart/top,The Bandit,https://www.imdb.com/title/tt0116231/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ECK38WD3S8MYBPN0NDYY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_183,Yavuz Turgul,https://www.imdb.com/name/nm0877078/?ref_=tt_ov_dr,2h 8min,Sener Sen,https://www.imdb.com/name/nm0784038/?ref_=tt_ov_st_sm,Ugur Yücel,https://www.imdb.com/name/nm0951309/?ref_=tt_ov_st_sm,Drama,"8,3"
1542140261-589,https://www.imdb.com/chart/top,The Thing,https://www.imdb.com/title/tt0084787/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ECK38WD3S8MYBPN0NDYY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_162,John Carpenter,https://www.imdb.com/name/nm0000118/?ref_=tt_ov_dr,1h 49min,Kurt Russell,https://www.imdb.com/name/nm0000621/?ref_=tt_ov_st_sm,Wilford Brimley,https://www.imdb.com/name/nm0000979/?ref_=tt_ov_st_sm,Mystery,"8,1"
1542140144-567,https://www.imdb.com/chart/top,Life of Brian,https://www.imdb.com/title/tt0079470/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ECK38WD3S8MYBPN0NDYY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_184,Terry Jones,https://www.imdb.com/name/nm0001402/?ref_=tt_ov_dr,1h 34min,Graham Chapman,https://www.imdb.com/name/nm0001037/?ref_=tt_ov_st_sm,John Cleese,https://www.imdb.com/name/nm0000092/?ref_=tt_ov_st_sm,17 August 1979 (USA),"8,1"
1542139981-530,https://www.imdb.com/chart/top,The Grapes of Wrath,https://www.imdb.com/title/tt0032551/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ECK38WD3S8MYBPN0NDYY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_221,John Ford,https://www.imdb.com/name/nm0000406/?ref_=tt_ov_dr,2h 9min,Henry Fonda,https://www.imdb.com/name/nm0000020/?ref_=tt_ov_st_sm,Jane Darwell,https://www.imdb.com/name/nm0002034/?ref_=tt_ov_st_sm,History,"8,1"
1542139996-536,https://www.imdb.com/chart/top,Catch Me If You Can,https://www.imdb.com/title/tt0264464/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ECK38WD3S8MYBPN0NDYY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_215,Steven Spielberg,https://www.imdb.com/name/nm0000229/?ref_=tt_ov_dr,2h 21min,Leonardo DiCaprio,https://www.imdb.com/name/nm0000138/?ref_=tt_ov_st_sm,Tom Hanks,https://www.imdb.com/name/nm0000158/?ref_=tt_ov_st_sm,Crime,"8,1"
1542140476-670,https://www.imdb.com/chart/top,Requiem for a Dream,https://www.imdb.com/title/tt0180093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ECK38WD3S8MYBPN0NDYY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_81,Darren Aronofsky,https://www.imdb.com/name/nm0004716/?ref_=tt_ov_dr,1h 42min,Ellen Burstyn,https://www.imdb.com/name/nm0000995/?ref_=tt_ov_st_sm,Jared Leto,https://www.imdb.com/name/nm0001467/?ref_=tt_ov_st_sm,15 December 2000 (USA),"8,3"
